0.00000000e+000 1.21632475e+000	
1.20240481e-001	1.21632510e+000	
2.40480962e-001	1.21632546e+000	
3.60721443e-001	1.21632582e+000	
4.80961924e-001	1.21632624e+000	
6.01202405e-001	1.21632836e+000	
7.21442886e-001	1.21633047e+000	
8.41683367e-001	1.21633259e+000	
9.61923848e-001	1.21633491e+000	
1.08216433e+000	1.21633964e+000	
1.20240481e+000	1.21634438e+000	
1.32264529e+000	1.21634911e+000	
1.44288577e+000	1.21635398e+000	
1.56312625e+000	1.21635980e+000	
1.68336673e+000	1.21636563e+000	
1.80360721e+000	1.21637146e+000	
1.92384770e+000	1.21637732e+000	
2.04408818e+000	1.21638340e+000	
2.16432866e+000	1.21638948e+000	
2.28456914e+000	1.21639555e+000	
2.40480962e+000	1.21640277e+000	
2.52505010e+000	1.21641460e+000	
2.64529058e+000	1.21642644e+000	
2.76553106e+000	1.21643827e+000	
2.88577154e+000	1.21645002e+000	
3.00601202e+000	1.21646150e+000	
3.12625251e+000	1.21647298e+000	
3.24649299e+000	1.21648445e+000	
3.36673347e+000	1.21649598e+000	
3.48697395e+000	1.21650763e+000	
3.60721443e+000	1.21651928e+000	
3.72745491e+000	1.21653094e+000	
3.84769539e+000	1.21654556e+000	
3.96793587e+000	1.21656659e+000	
4.08817635e+000	1.21658761e+000	
4.20841683e+000	1.21660864e+000	
4.32865731e+000	1.21662793e+000	
4.44889780e+000	1.21664413e+000	
4.56913828e+000	1.21666032e+000	
4.68937876e+000	1.21667651e+000	
4.80961924e+000	1.21669771e+000	
4.92985972e+000	1.21672653e+000	
5.05010020e+000	1.21675535e+000	
5.17034068e+000	1.21678416e+000	
5.29058116e+000	1.21680994e+000	
5.41082164e+000	1.21683178e+000	
5.53106212e+000	1.21685363e+000	
5.65130261e+000	1.21687547e+000	
5.77154309e+000	1.21690559e+000	
5.89178357e+000	1.21694481e+000	
6.01202405e+000	1.21698403e+000	
6.13226453e+000	1.21702325e+000	
6.25250501e+000	1.21705768e+000	
6.37274549e+000	1.21708761e+000	
6.49298597e+000	1.21711754e+000	
6.61322645e+000	1.21714748e+000	
6.73346693e+000	1.21718954e+000	
6.85370741e+000	1.21724131e+000	
6.97394790e+000	1.21729308e+000	
7.09418838e+000	1.21734485e+000	
7.21442886e+000	1.21739218e+000	
7.33466934e+000	1.21743649e+000	
7.45490982e+000	1.21748080e+000	
7.57515030e+000	1.21752512e+000	
7.69539078e+000	1.21757667e+000	
7.81563126e+000	1.21763240e+000	
7.93587174e+000	1.21768812e+000	
8.05611222e+000	1.21774384e+000	
8.17635271e+000	1.21779817e+000	
8.29659319e+000	1.21785183e+000	
8.41683367e+000	1.21790549e+000	
8.53707415e+000	1.21795915e+000	
8.65731463e+000	1.21803835e+000	
8.77755511e+000	1.21812776e+000	
8.89779559e+000	1.21821718e+000	
9.01803607e+000	1.21830660e+000	
9.13827655e+000	1.21838117e+000	
9.25851703e+000	1.21845090e+000	
9.37875752e+000	1.21852063e+000	
9.49899800e+000	1.21859036e+000	
9.61923848e+000	1.21869795e+000	
9.73947896e+000	1.21881539e+000	
9.85971944e+000	1.21893283e+000	
9.97995992e+000	1.21905026e+000	
1.01002004e+001	1.21915577e+000	
1.02204409e+001	1.21925889e+000	
1.03406814e+001	1.21936201e+000	
1.04609218e+001	1.21946513e+000	
1.05811623e+001	1.21956761e+000	
1.07014028e+001	1.21966998e+000	
1.08216433e+001	1.21977236e+000	
1.09418838e+001	1.21987474e+000	
1.10621242e+001	1.22004436e+000	
1.11823647e+001	1.22022041e+000	
1.13026052e+001	1.22039645e+000	
1.14228457e+001	1.22057250e+000	
1.15430862e+001	1.22071008e+000	
1.16633267e+001	1.22084573e+000	
1.17835671e+001	1.22098138e+000	
1.19038076e+001	1.22111704e+000	
1.20240481e+001	1.22127525e+000	
1.21442886e+001	1.22143365e+000	
1.22645291e+001	1.22159204e+000	
1.23847695e+001	1.22175337e+000	
1.25050100e+001	1.22200420e+000	
1.26252505e+001	1.22225503e+000	
1.27454910e+001	1.22250586e+000	
1.28657315e+001	1.22275345e+000	
1.29859719e+001	1.22295893e+000	
1.31062124e+001	1.22316441e+000	
1.32264529e+001	1.22336989e+000	
1.33466934e+001	1.22358013e+000	
1.34669339e+001	1.22382842e+000	
1.35871743e+001	1.22407671e+000	
1.37074148e+001	1.22432499e+000	
1.38276553e+001	1.22457109e+000	
1.39478958e+001	1.22480486e+000	
1.40681363e+001	1.22503862e+000	
1.41883768e+001	1.22527239e+000	
1.43086172e+001	1.22553225e+000	
1.44288577e+001	1.22590296e+000	
1.45490982e+001	1.22627368e+000	
1.46693387e+001	1.22664440e+000	
1.47895792e+001	1.22699380e+000	
1.49098196e+001	1.22727191e+000	
1.50300601e+001	1.22755001e+000	
1.51503006e+001	1.22782812e+000	
1.52705411e+001	1.22815188e+000	
1.53907816e+001	1.22859920e+000	
1.55110220e+001	1.22904652e+000	
1.56312625e+001	1.22949383e+000	
1.57515030e+001	1.22991580e+000	
1.58717435e+001	1.23028122e+000	
1.59919840e+001	1.23064664e+000	
1.61122244e+001	1.23101206e+000	
1.62324649e+001	1.23137259e+000	
1.63527054e+001	1.23172402e+000	
1.64729459e+001	1.23207544e+000	
1.65931864e+001	1.23242686e+000	
1.67134269e+001	1.23286393e+000	
1.68336673e+001	1.23343557e+000	
1.69539078e+001	1.23400721e+000	
1.70741483e+001	1.23457885e+000	
