Machine,tau_k,e,hm,ha,Lz,lq,F_active,THD,mass,time
1,0.019272345449941275,0.006081602894472146,0.009980593675927525,0.0029258882142173047,0.04355514400986473,0.002281943696462498,15.167349801859533,0.030296897133406102,0.18149476816738902,0.09784129612051416
2,0.024995591851502557,0.007849123542508574,0.0099976995352505,0.0049985178108685096,0.049999494758302246,0.0038995397223471773,51.665915271641616,0.031164274830382754,0.26542777324694883,0.06410857324221218
3,0.019193903912162434,0.006007162542900515,0.009887005334411034,0.0032778965717629787,0.049373139777352165,0.0028492664605833246,24.088808717353007,0.030445712367233594,0.2006782466771409,0.0816370834787774
4,0.019380251821698592,0.006129333904355997,0.00993903397527743,0.002850639115347512,0.04987623747276409,0.0028223563472600265,20.91575903546495,0.03029746918398178,0.19414837147279934,0.08617376233529396
5,0.023702431649218637,0.0075149739954282445,0.009998521251384297,0.003423115331117056,0.049989121575588255,0.0037070161756347945,34.06124355259872,0.030534609588594372,0.2263347613960897,0.07291054986171992
6,0.019067384946345876,0.006007162542900515,0.009103599957401226,0.0029831223206937454,0.049373139777352165,0.002906321430332841,22.236386813290345,0.030401975693586002,0.19725726252065942,0.08424213876175053
7,0.019193903912162434,0.006007162542900515,0.009853771460703044,0.0029831223206937454,0.049373139777352165,0.0028492664605833246,21.930554734252492,0.030346005635987255,0.19622458074104504,0.08460516752755784
8,0.019193903912162434,0.006007162542900515,0.009997913560342386,0.002932154903672399,0.04999217238159628,0.0028492664605833246,21.83065173140275,0.03032326802776306,0.19591525290605022,0.08473167025122
9,0.024415674250389884,0.007747843218094723,0.009997590601116647,0.003595619844550981,0.04999337306953988,0.0038633728549346564,37.39507081049633,0.030582616837069226,0.23452628205174816,0.07083266352365637
10,0.023702431649218637,0.0075149739954282445,0.009998186975682647,0.0035441112036546456,0.04996094835845752,0.0037421941453573463,35.55792638739249,0.030539964062097233,0.22962957548000118,0.07187712403713946
11,0.024995446035632578,0.007847987806175705,0.009994254359607598,0.004730562387872936,0.04999785058598982,0.003910351795805572,49.30902701672807,0.03099598927461587,0.26017771121117084,0.06497059161948836
12,0.024991121458634073,0.007847617686953318,0.009998875898177495,0.004554542847845756,0.049992457033492164,0.003919370267469625,47.741685167359215,0.030897262931954585,0.2567632128132435,0.0655937593061897
13,0.023702431649218637,0.0075149739954282445,0.009999390052317451,0.0038240540745012484,0.04996094835845752,0.0037421941453573463,38.26662785971814,0.030594883509588125,0.23525079676327576,0.07012945252566559
14,0.02373561935612945,0.007512548703821648,0.009999390052317451,0.003539229252646994,0.04996094835845752,0.0037421941453573463,35.53756633905195,0.030538902427442092,0.2295634618011232,0.07188735993322694
15,0.023737896331480816,0.0075149739954282445,0.009998521251384297,0.003423115331117056,0.04998922650001433,0.0037070161756347945,34.085204817991496,0.03053513673399773,0.22636717060913922,0.07289013603904354
16,0.024415674250389884,0.007746669091635065,0.009991827408091002,0.00366349285743339,0.04976741012404753,0.0038110401641599707,37.39676289432836,0.03058850355262117,0.23420672005175125,0.07078278790865628
17,0.024926241985789428,0.007845941501134903,0.0099991086125195,0.004531951108463622,0.04999285376064385,0.003910151436678661,47.357684039359455,0.030881911186851,0.25592328667940484,0.06575134905694195
18,0.024982282360394993,0.00785777011404468,0.009998992328356748,0.004623392009383449,0.04999164338434528,0.003918392685116616,48.35740212670209,0.03093059397547858,0.2581641604989665,0.06535239205873658
19,0.024997069120034267,0.007845907224030587,0.009998279840453267,0.004766049218764895,0.049982191015873915,0.0039028804388066773,49.53957235881159,0.031017189686961835,0.2606448954700423,0.06487740626118574
20,0.024970363379979817,0.007845941501134903,0.009996643243182803,0.004911453271463618,0.04998327746173689,0.0038994548046862357,50.82504766014559,0.031107179817236395,0.2635479044401361,0.06440741660843184
21,0.024966581422553476,0.007850924434791656,0.009994860927073135,0.0048766538061200135,0.049999431141893876,0.003917507301635301,50.737658709791695,0.031083854162760244,0.2634637211353607,0.06445256311410572
22,0.024988268676899825,0.007849164595308978,0.009993754204307944,0.0049647044321371805,0.04997191233543322,0.003923193334690001,51.62842107804911,0.0311421873737965,0.2654857353079204,0.06413884978068576
23,0.024776789734468695,0.007842494385408605,0.009998472060706629,0.0037560851970818787,0.049992033493635506,0.003909704792731538,39.59208695439895,0.03061151502337644,0.2394709685951762,0.0695612266168568
24,0.024490241012130872,0.007746663769733895,0.00999989196564313,0.003857097989541395,0.04990890080358462,0.0038695648394354966,40.073769267729574,0.03061810611441097,0.24008374504615926,0.06923030984502417
25,0.023702431649218637,0.0075149739954282445,0.009999948080528455,0.003870758696002817,0.04996094835845752,0.0037421941453573463,38.71187423978101,0.03060921649424781,0.23618862029712018,0.06986382816696965
26,0.024966512053838236,0.007847748278935102,0.009997055741290757,0.004648338843383449,0.04998987855674545,0.0039023510242484375,48.398762561147244,0.03094666880403824,0.2581427953149694,0.06532175866710704
27,0.024926241985789428,0.007845941501134903,0.00999250394488852,0.004060204176870868,0.04992116820239085,0.003899508688416525,42.584371639714746,0.030686956897583297,0.24559320887406405,0.06792474999306926
28,0.024966581422553476,0.007850857591521173,0.009993656841856706,0.004344713715902583,0.04999947052966517,0.0039023510242484375,45.495103923963676,0.030794116117687453,0.2517953867146365,0.06654057466191159
29,0.024415674250389884,0.007746650753861624,0.009979194526915867,0.003730989720614177,0.04998363926698546,0.0038633728549346564,38.75090443622925,0.030599148173641576,0.237321875754653,0.06999595737230989
30,0.024993215240856875,0.007847807163086966,0.009993657352635344,0.0045731009792129,0.04999877955658998,0.00391078399860023,47.82047567787279,0.030908012491746163,0.2568849781941895,0.06555523854112398
31,0.024998293292281235,0.00784585664544827,0.009998279840453267,0.00450676844500729,0.04996015475633896,0.0039028804388066773,47.0639030596899,0.030874330231272014,0.25517695387934897,0.06586000320224046
32,0.024962176636675864,0.007836668976104084,0.00998108725594409,0.004416137651029565,0.04999434793503776,0.003899359739321327,46.16515046883799,0.030833165533167315,0.25319097569356075,0.06623872693038346
33,0.024925254107909595,0.007842665381782785,0.00997703814664777,0.004379394458114026,0.04994399137150238,0.003909761473103489,45.84178466355895,0.030811495812675158,0.2526291303898276,0.06639814534372646
34,0.024767572511711015,0.007846030998267422,0.00999135923859343,0.003986431353744322,0.049999358107628594,0.0038896518160964053,41.68538884555467,0.030660613146275818,0.24371453002394447,0.06839018461490504
35,0.024995446035632578,0.007847987806175705,0.009994276525476574,0.004928483696577118,0.04999785058598982,0.003910696697315652,51.164761850655715,0.031118783918173406,0.264345568166849,0.0642903117715601
36,0.024996039161285198,0.007851231420075168,0.009978008160512298,0.004595507924721499,0.0499945135721467,0.0039109738118967485,48.023905648549395,0.030921637885074845,0.2573555677243321,0.06547613555271156
37,0.02496693086642269,0.007849123542508574,0.0099976995352505,0.004953216868701633,0.049999494758302246,0.0038995397223471773,51.21904513882023,0.031133690533724747,0.26445028350970695,0.06426896012747997
38,0.024926241985789428,0.007845941501134903,0.0099991086125195,0.004410547559882942,0.04999285376064385,0.0038994548046862357,46.06584293466324,0.030821536045395115,0.25303364733771777,0.06628948119238273
39,0.024998050324837918,0.007847527128069584,0.009993656841856706,0.004686393598471135,0.04999813240212191,0.003901888208069818,48.78979605311875,0.030970854295529128,0.2589710596925237,0.06516375603798857
40,0.024772300506435422,0.0078078932031622255,0.009992764771089908,0.003960736723179608,0.04999061645314053,0.0038915742052714106,41.514917552012434,0.030653623969256926,0.24324545599716102,0.06846447333084218
41,0.024996818859645987,0.007857855850353668,0.009999690632966728,0.00445115111112739,0.049991162840292654,0.003901888208069818,46.52353097490232,0.030842277210626774,0.2540241839943381,0.06609158871356151
42,0.024994571391755052,0.007850924434791656,0.009993656841856706,0.004276094795801846,0.04999948478807903,0.003908588249217663,44.92402891926392,0.03076842141456261,0.25058015410163603,0.06680038729221359
43,0.024854062569175016,0.007845076573621731,0.009992491412717307,0.0038755194719241786,0.04999350840630904,0.0039005607798725055,40.759386669274875,0.030635079809498304,0.24179237851776025,0.06888941187104139
44,0.02470365111939227,0.007847622163637482,0.009976162240591887,0.003894139316029605,0.04999227312070996,0.0038990649466272283,40.804165397859315,0.03064455247032306,0.24198437206607654,0.06887893181646047
45,0.024975886545499197,0.007842665381782785,0.00997703814664777,0.004233490056048933,0.04994399137150238,0.003909761473103489,44.46676268648872,0.03075560863090919,0.24962051368342386,0.06701428270809762
46,0.024996818859645987,0.007847802648379533,0.00999970406107736,0.00447631565016374,0.049991941503531916,0.003901888208069818,46.78536825037861,0.03085805848102536,0.2545577344116321,0.0659755646693895
